cd_municipio_7,regional_saude,nm_cidade,uf_municipio,nm_regiao,cidades_habitantes,id_singular,reg_ans
3147808,Juiz de Fora,Passa Vinte,MG,Sudeste,2311,045,344451
3147907,Passos,Passos,MG,Sudeste,116951,160,419729
3147956,Januária,Patis,MG,Sudeste,4825,045,344451
3148004,Patos de Minas,Patos de Minas,MG,Sudeste,169173,045,344451
3148103,Uberlândia,Patrocínio,MG,Sudeste,94357,045,344451
3148202,Ubá,Patrocínio do Muriaé,MG,Sudeste,5754,045,344451
3148301,Ponte Nova,Paula Cândido,MG,Sudeste,8757,045,344451
3148400,Governador Valadares,Paulistas,MG,Sudeste,4402,045,344451
3148509,Teófilo Otoni,Pavão,MG,Sudeste,8143,045,344451
3148608,Governador Valadares,Peçanha,MG,Sudeste,17863,045,344451
3148707,Pedra Azul,Pedra Azul,MG,Sudeste,25045,045,344451
3148756,Manhumirim,Pedra Bonita,MG,Sudeste,7599,045,344451
3148806,Ponte Nova,Pedra do Anta,MG,Sudeste,3366,045,344451
3148905,Divinópolis,Pedra do Indaiá,MG,Sudeste,4247,045,344451
3149002,Manhumirim,Pedra Dourada,MG,Sudeste,2916,045,344451
3149101,Pouso Alegre,Pedralva,MG,Sudeste,10891,041,419028
3149150,Januária,Pedras de Maria da Cruz,MG,Sudeste,10601,045,344451
3149200,Uberaba,Pedrinópolis,MG,Sudeste,3398,045,344451
3149309,Belo Horizonte,Pedro Leopoldo,MG,Sudeste,65174,009,344451
3149408,Juiz de Fora,Pedro Teixeira,MG,Sudeste,1857,045,344451
3149507,Juiz de Fora,Pequeri,MG,Sudeste,3461,045,344451
3149606,Sete Lagoas,Pequi,MG,Sudeste,4265,045,344451
3149705,Divinópolis,Perdigão,MG,Sudeste,13118,045,344451
3149804,Uberaba,Perdizes,MG,Sudeste,17992,015,370568
3149903,Varginha,Perdões,MG,Sudeste,22075,045,344451
3149952,Coronel Fabriciano,Periquito,MG,Sudeste,6624,045,344451
3150000,Teófilo Otoni,Pescador,MG,Sudeste,3559,045,344451
3150109,Juiz de Fora,Piau,MG,Sudeste,2854,045,344451
3150158,Coronel Fabriciano,Piedade de Caratinga,MG,Sudeste,8966,045,344451
3150208,Ponte Nova,Piedade de Ponte Nova,MG,Sudeste,4054,045,344451
3150307,São João Del Rei,Piedade do Rio Grande,MG,Sudeste,4694,045,344451
3150406,Belo Horizonte,Piedade dos Gerais,MG,Sudeste,5199,045,344451
3150505,Divinópolis,Pimenta,MG,Sudeste,8817,045,344451
3150539,Coronel Fabriciano,Pingo-d'Água,MG,Sudeste,4864,045,344451
3150570,Januária,Pintópolis,MG,Sudeste,7228,045,344451
3150604,Divinópolis,Piracema,MG,Sudeste,6905,045,344451
3150703,Uberaba,Pirajuba,MG,Sudeste,5814,015,370568
3150802,Barbacena,Piranga,MG,Sudeste,17358,045,344451
3150901,Pouso Alegre,Piranguçu,MG,Sudeste,6320,045,344451
3151008,Pouso Alegre,Piranguinho,MG,Sudeste,9518,041,419028
3151107,Leopoldina,Pirapetinga,MG,Sudeste,11454,127,401919
3151206,Pirapora,Pirapora,MG,Sudeste,57713,045,344451
3151305,Ubá,Piraúba,MG,Sudeste,12006,042,327441
3151404,Divinópolis,Pitangui,MG,Sudeste,27834,045,344451
3151503,Passos,Piumhi,MG,Sudeste,38007,160,419729
3151602,Uberaba,Planura,MG,Sudeste,11533,015,370568
3151701,Alfenas,Poço Fundo,MG,Sudeste,16824,182,409791
3151800,Pouso Alegre,Poços de Caldas,MG,Sudeste,172339,182,409791
3151909,Manhumirim,Pocrane,MG,Sudeste,8438,045,344451
3152006,Sete Lagoas,Pompéu,MG,Sudeste,32441,045,344451
3152105,Ponte Nova,Ponte Nova,MG,Sudeste,59638,045,344451
3152131,Pirapora,Ponto Chique,MG,Sudeste,3797,045,344451
3152170,Pedra Azul,Ponto dos Volantes,MG,Sudeste,11059,045,344451
3152204,Montes Claros,Porteirinha,MG,Sudeste,38692,045,344451
3152303,Ponte Nova,Porto Firme,MG,Sudeste,10840,045,344451
3152402,Teófilo Otoni,Poté,MG,Sudeste,13649,045,344451
3152501,Pouso Alegre,Pouso Alegre,MG,Sudeste,162133,041,419028
3152600,Varginha,Pouso Alto,MG,Sudeste,6779,139,344451
3152709,São João Del Rei,Prados,MG,Sudeste,9369,045,344451
3152808,Uberlândia,Prata,MG,Sudeste,29745,045,344451
3152907,Passos,Pratápolis,MG,Sudeste,8534,045,344451
3153004,Uberaba,Pratinha,MG,Sudeste,3691,045,344451
3153103,Ubá,Presidente Bernardes,MG,Sudeste,4847,045,344451
3153202,Sete Lagoas,Presidente Juscelino,MG,Sudeste,3471,045,344451
3153301,Diamantina,Presidente Kubitschek,MG,Sudeste,3162,045,344451
3153400,Patos de Minas,Presidente Olegário,MG,Sudeste,19192,045,344451
3153509,Manhumirim,Alto Jequitibá,MG,Sudeste,8606,045,344451
3153608,Sete Lagoas,Prudente de Morais,MG,Sudeste,12052,009,344451
3153707,Sete Lagoas,Quartel Geral,MG,Sudeste,3232,045,344451
3153806,Barbacena,Queluzito,MG,Sudeste,1796,045,344451
3153905,Belo Horizonte,Raposos,MG,Sudeste,16796,009,344451
3154002,Ponte Nova,Raul Soares,MG,Sudeste,23874,045,344451
3154101,Leopoldina,Recreio,MG,Sudeste,11383,127,401919
